name,discharge_cap,capacity,resistance,gradient_positive,gradient_separator,gradient_negative
crack=7.0;100_cycles,4.450376173590853,5.059511353466301,0.15225750358579582,-49.896768605948715,-58.7961403256777,-91.32368949773081
crack=7.2;100_cycles,4.448611916080021,5.058990345129369,0.15225490513726836,-49.89676833987924,-58.80156832412467,-91.48679853687645
crack=7.4;100_cycles,4.446640213288763,5.058434673539667,0.15225210601682626,-49.89676805549083,-58.80742526229005,-91.66232085738739
crack=7.6;100_cycles,4.444470409712943,5.057841475103184,0.1522492495233445,-49.896767752963235,-58.81371271901298,-91.85130781937914
crack=7.8;100_cycles,4.4421026935469206,5.057207495186777,0.15224629258131195,-49.8967674313273,-58.820412929795566,-92.05484024812176
crack=8.0;100_cycles,4.439529174493912,5.0565289850403765,0.15224375471754303,-49.89676708893415,-58.8276336293784,-92.27439387734921
crack=8.2;100_cycles,4.436753660054146,5.055801625798527,0.15224026909600052,-49.896766724033995,-58.835433791638934,-92.51150442189828
crack=8.4;100_cycles,4.433787301019405,5.055020356825813,0.15223689763843495,-49.89676633633143,-58.84383781324141,-92.76782769530837
crack=8.6;100_cycles,4.430671033704662,5.054179219505452,0.15223344784661386,-49.896765924421494,-58.852909272085526,-93.0452844077663
crack=8.8;100_cycles,4.427473270502067,5.053271123472925,0.15223016284228308,-49.8967654860592,-58.86270624602912,-93.34602747917234
crack=9.0;100_cycles,4.424223120759926,5.052287472932962,0.1522267098714467,-49.896765018287624,-58.87330669858784,-93.6725137620233
crack=9.2;100_cycles,4.421064838647202,5.051217705577661,0.15222311660189813,-49.8967645212539,-58.8847905305156,-94.02751411778445
crack=9.4;100_cycles,4.418070666393619,5.050048528718949,0.15221962862980742,-49.896763993068234,-58.89722491163411,-94.41414492626791
crack=9.6;100_cycles,4.415328463575514,5.04876302118555,0.1522160565021764,-49.896763427449926,-58.910757814053795,-94.83609296410577
crack=9.8;100_cycles,4.412980903663126,5.047343504432006,0.15221291630033917,-49.896762826441226,-58.925479962912505,-95.29744864511304
crack=10.0;100_cycles,4.411046268666649,5.045773290392106,0.1522102602630877,-49.896762183490054,-58.9415333574143,-95.80299359404307
crack=10.2;100_cycles,4.409558385587593,5.044034360125373,0.15220706915748927,-49.89676149577788,-58.95908150427567,-96.35826009431912
crack=10.4;100_cycles,4.408408543282111,5.042107806707718,0.15220451312655126,-49.89676075881234,-58.97828713800118,-96.9696165744972
crack=10.6;100_cycles,4.407321934390345,5.039974805489819,0.15220268441030793,-49.89675996495172,-58.999319515001844,-97.64446663411218
crack=10.8;100_cycles,4.4059642632628355,5.037618422950925,0.15220068547044718,-49.896759105725124,-59.022477723279735,-98.39173624280374
crack=11.0;100_cycles,4.404033623853789,5.0350261164149615,0.15219990094881997,-49.896758176106026,-59.047948814200936,-99.22162182297325
crack=11.2;100_cycles,4.401279240677188,5.032192978566223,0.15219943023014615,-49.89675716530496,-59.07611719549459,-100.14663583908987
crack=11.4;100_cycles,4.397776770899146,5.029125087639264,0.15220241994407324,-49.896756062916516,-59.10733235736552,-101.18148177390685
crack=11.6;100_cycles,4.393914136939099,5.025835446840759,0.15220713233827965,-49.896754858442264,-59.14200750194141,-102.34385977633065
crack=11.8;100_cycles,4.38991569592091,5.022298792898473,0.15221236464966736,-49.896753538984235,-59.18072385483538,-103.65536803708528
crack=12.0;100_cycles,4.385611829402003,5.018459975071541,0.15222178791706487,-49.8967520913569,-59.223833766707685,-105.14152540179202
crack=12.2;100_cycles,4.380708952189344,5.014245569155641,0.1522350936392325,-49.89675049985156,-59.27223753780709,-106.83426368437358
crack=12.4;100_cycles,4.375525993187622,5.009550887753241,0.15225402623764595,-49.89674874735632,-59.326621434142,-108.77211370295845
crack=12.6;100_cycles,4.370311078510329,5.004215045746364,0.15228105126835967,-49.896746818765834,-59.388017609817325,-111.0064375896327
crack=12.8;100_cycles,4.364245816408479,4.998148628376109,0.15231620577001248,-49.8967446866853,-59.45765579228464,-113.60693001658365
crack=13.0;100_cycles,4.356878998817421,4.991443107375095,0.15236321305467104,-49.89674231199625,-59.5371526277886,-116.66625723180186
crack=13.2;100_cycles,4.350793912242338,4.984323106271973,0.15242824921601095,-49.89673964975223,-59.628343046759255,-120.30217788525624
crack=13.4;100_cycles,4.345805001059791,4.976768524642874,0.1525153318916841,-49.89673664883728,-59.73305171904212,-124.66355125696282
crack=13.6;100_cycles,4.337829287101603,4.968026208221029,0.15263364177629768,-49.896733266696216,-59.8536842118192,-129.9631060900865
crack=13.8;100_cycles,4.325299808926856,4.956508072281632,0.15279359951427818,-49.89672944323978,-59.99322985249455,-136.5092678636138
crack=14.0;100_cycles,4.3138655105623815,4.943923747773495,0.15301477315715406,-49.896725092413234,-60.15591093763942,-144.8027177859476
crack=14.2;100_cycles,4.304040544279991,4.932923396334183,0.15332644724999778,-49.89671998558732,-60.34576828300487,-155.58710704870464
crack=14.4;100_cycles,4.289525879738361,4.919899891531459,0.1537742269851714,-49.89671369759528,-60.56643607262231,-170.04306570884364
crack=14.6;100_cycles,4.273976086548756,4.900360121068733,0.15444046344554163,-49.89670576512954,-60.82113769110583,-190.39524397767673
crack=14.8;100_cycles,4.2553476364367,4.880697114889938,0.15548108092144908,-49.896696163632754,-61.10750895056117,-220.91554807609646
crack=15.0;100_cycles,4.2359923485856354,4.858654306057918,0.15722915861637432,-49.89668477746648,-61.402362201406504,-271.04462242151203
